station_id,station_name,latitude,longitude,year,month,date,month_id,season,split,rainfall_mm,CCS,CDR,CHIRPS,ERA5,GSMaP_Gauge,GSMaP_MVK,IMERG,LST,NDVI,PDIR,PERSIANN,Distance_Sea_meter,Land_Aspect_Degree_30m,Land_Khulna_SRTM_DEM,Land_Slope_Degree_30m,month_sin,month_cos,raster_x,raster_y,inside_raster_bounds,valid_predictor_count,missing_predictor_count,all_predictors_available
CL510,Khulna,22.8319,89.55,2019,11,2019-11-01,2019_11,Post_Monsoon,train,117.0,54.66463088989258,121.67301940917967,55.89384841918945,157.40347290039062,253.78341674804688,337.0256652832031,0.2102389633655548,29.88999938964844,0.5289999842643738,74.12643432617188,112.33236694335938,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,-0.5000000000000004,0.8660254037844384,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2019,11,2019-11-01,2019_11,Post_Monsoon,train,113.8,73.43567657470703,147.4273681640625,64.60350799560547,175.90687561035156,237.5868377685547,281.99432373046875,0.2346288859844207,26.895000457763672,0.4514000117778778,77.94853973388672,140.2930450439453,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,-0.5000000000000004,0.8660254037844384,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2019,11,2019-11-01,2019_11,Post_Monsoon,train,22.9,58.68280029296875,124.02062225341795,60.41839218139648,169.7178192138672,260.164306640625,335.8406066894531,0.2186751216650009,27.920000076293945,0.567799985408783,78.05915832519531,112.8856430053711,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,-0.5000000000000004,0.8660254037844384,89.59,22.79,True,15,0,True
CL504,Dumuria,22.8093,89.4145,2019,12,2019-12-01,2019_12,Winter,train,32.9,1.0,6.719533920288086,5.181497573852539,9.468832015991213,27.910276412963867,4.949481964111328,0.0137708568945527,22.55500030517578,0.5821999907493591,5.6033806800842285,0.7851357460021973,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,-2.4492935982947064e-16,1.0,89.4145,22.8093,True,15,0,True
CL510,Khulna,22.8319,89.55,2019,12,2019-12-01,2019_12,Winter,train,46.5,0.7900741100311279,7.260131359100342,4.649412631988525,8.80139446258545,26.98803901672364,5.523412227630615,0.0140000004321336,23.95499992370605,0.4577000141143799,6.1456828117370605,0.5506536364555359,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,-2.4492935982947064e-16,1.0,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2019,12,2019-12-01,2019_12,Winter,train,45.5,1.8007467985153198,6.2445831298828125,9.299032211303713,10.4511079788208,24.54753875732422,8.64785385131836,0.0144002269953489,21.565000534057617,0.4323999881744385,18.87702369689941,1.741020441055298,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,-2.4492935982947064e-16,1.0,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2019,12,2019-12-01,2019_12,Winter,train,1.5,4.969483375549316,7.393116474151611,3.963880062103272,8.784619331359863,27.36706924438477,5.719337463378906,0.0140000004321336,22.709999084472656,0.3535999953746795,10.837594032287598,0.5453786253929138,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,-2.4492935982947064e-16,1.0,89.59,22.79,True,15,0,True
CL504,Dumuria,22.8093,89.4145,2020,1,2020-01-01,2020_01,Winter,train,0.0,15.571382522583008,24.668516159057617,20.714439392089844,21.38861656188965,48.53170394897461,96.3227996826172,0.0533738806843757,22.77666664123535,0.5203999876976013,34.46580123901367,16.403705596923828,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,0.4999999999999999,0.8660254037844387,89.4145,22.8093,True,15,0,True
CL510,Khulna,22.8319,89.55,2020,1,2020-01-01,2020_01,Winter,train,0.0,1.0,28.69570541381836,24.227235794067383,19.83130645751953,57.88376235961914,106.09479522705078,0.0541757121682167,23.165000915527344,0.4101000130176544,27.42914581298828,13.438568115234377,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,0.4999999999999999,0.8660254037844387,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2020,1,2020-01-01,2020_01,Winter,train,0.0,6.983231067657471,24.144166946411133,25.56726837158203,26.23481178283692,48.964988708496094,97.27867889404295,0.0608390867710113,21.71999931335449,0.3628999888896942,79.05577087402344,16.09001922607422,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,0.4999999999999999,0.8660254037844387,89.3182,22.585,True,15,0,True
