station_id,station_name,latitude,longitude,year,month,date,rainfall_mm
CL515,Paikgacha,22.585,89.3182,2020,1,2020-01-01,0.0
CL515,Paikgacha,22.585,89.3182,2020,2,2020-02-01,52.3
CL515,Paikgacha,22.585,89.3182,2020,3,2020-03-01,47.8
CL515,Paikgacha,22.585,89.3182,2020,4,2020-04-01,117.9
CL515,Paikgacha,22.585,89.3182,2020,5,2020-05-01,122.0
CL515,Paikgacha,22.585,89.3182,2020,6,2020-06-01,267.3
CL515,Paikgacha,22.585,89.3182,2020,7,2020-07-01,466.1
CL515,Paikgacha,22.585,89.3182,2020,8,2020-08-01,297.5
CL515,Paikgacha,22.585,89.3182,2020,9,2020-09-01,250.8
CL515,Paikgacha,22.585,89.3182,2020,10,2020-10-01,238.1
CL515,Paikgacha,22.585,89.3182,2020,11,2020-11-01,49.3
CL515,Paikgacha,22.585,89.3182,2020,12,2020-12-01,25.8
CL515,Paikgacha,22.585,89.3182,2021,1,2021-01-01,0.0
CL515,Paikgacha,22.585,89.3182,2021,2,2021-02-01,61.9
CL515,Paikgacha,22.585,89.3182,2021,3,2021-03-01,47.3
CL515,Paikgacha,22.585,89.3182,2021,4,2021-04-01,108.7
CL515,Paikgacha,22.585,89.3182,2021,5,2021-05-01,114.0
CL515,Paikgacha,22.585,89.3182,2021,6,2021-06-01,230.9
CL515,Paikgacha,22.585,89.3182,2021,7,2021-07-01,441.6
CL515,Paikgacha,22.585,89.3182,2021,8,2021-08-01,311.2
CL515,Paikgacha,22.585,89.3182,2021,9,2021-09-01,236.9
CL515,Paikgacha,22.585,89.3182,2021,10,2021-10-01,222.1
CL515,Paikgacha,22.585,89.3182,2021,11,2021-11-01,57.0
CL515,Paikgacha,22.585,89.3182,2021,12,2021-12-01,27.1
CL515,Paikgacha,22.585,89.3182,2022,1,2022-01-01,0.0
CL515,Paikgacha,22.585,89.3182,2022,2,2022-02-01,71.5
CL515,Paikgacha,22.585,89.3182,2022,3,2022-03-01,46.8
CL515,Paikgacha,22.585,89.3182,2022,4,2022-04-01,99.6
CL515,Paikgacha,22.585,89.3182,2022,5,2022-05-01,105.9
CL515,Paikgacha,22.585,89.3182,2022,6,2022-06-01,194.5
CL515,Paikgacha,22.585,89.3182,2022,7,2022-07-01,417.1
CL515,Paikgacha,22.585,89.3182,2022,8,2022-08-01,324.9
CL515,Paikgacha,22.585,89.3182,2022,9,2022-09-01,223.0
CL515,Paikgacha,22.585,89.3182,2022,10,2022-10-01,206.1
CL515,Paikgacha,22.585,89.3182,2022,11,2022-11-01,64.7
CL515,Paikgacha,22.585,89.3182,2022,12,2022-12-01,28.4
CL517,Rupsa,22.79,89.59,2017,1,2017-01-01,0.0
CL517,Rupsa,22.79,89.59,2017,2,2017-02-01,0.0
CL517,Rupsa,22.79,89.59,2017,3,2017-03-01,125.1
CL517,Rupsa,22.79,89.59,2017,4,2017-04-01,142.1
CL517,Rupsa,22.79,89.59,2017,5,2017-05-01,255.7
CL517,Rupsa,22.79,89.59,2017,6,2017-06-01,331.1
CL517,Rupsa,22.79,89.59,2017,7,2017-07-01,587.5
CL517,Rupsa,22.79,89.59,2017,8,2017-08-01,239.5
CL517,Rupsa,22.79,89.59,2017,9,2017-09-01,155.3
CL517,Rupsa,22.79,89.59,2017,10,2017-10-01,435.2
CL517,Rupsa,22.79,89.59,2017,11,2017-11-01,4.2
CL517,Rupsa,22.79,89.59,2017,12,2017-12-01,23.7
CL517,Rupsa,22.79,89.59,2018,1,2018-01-01,0.0
CL517,Rupsa,22.79,89.59,2018,2,2018-02-01,0.0
CL517,Rupsa,22.79,89.59,2018,3,2018-03-01,6.4
CL517,Rupsa,22.79,89.59,2018,4,2018-04-01,108.9
CL517,Rupsa,22.79,89.59,2018,5,2018-05-01,174.5
CL517,Rupsa,22.79,89.59,2018,6,2018-06-01,224.3
CL517,Rupsa,22.79,89.59,2018,7,2018-07-01,428.5
CL517,Rupsa,22.79,89.59,2018,8,2018-08-01,206.7
CL517,Rupsa,22.79,89.59,2018,9,2018-09-01,122.0
CL517,Rupsa,22.79,89.59,2018,10,2018-10-01,42.4
CL517,Rupsa,22.79,89.59,2018,11,2018-11-01,0.0
CL517,Rupsa,22.79,89.59,2018,12,2018-12-01,0.0
CL517,Rupsa,22.79,89.59,2019,1,2019-01-01,0.0
CL517,Rupsa,22.79,89.59,2019,2,2019-02-01,130.0
CL517,Rupsa,22.79,89.59,2019,3,2019-03-01,71.6
CL517,Rupsa,22.79,89.59,2019,4,2019-04-01,46.3
